studentid,cohorttermindex,pathway,creditsearned,collegecreditsearned,collegecreditsattempted
3,1,4,15,15,15
3,2,4,15,15,15
3,3,4,15,15,18
3,4,100,,,
3,5,100,,,
3,6,100,,,
7,1,1,9,9,12
7,2,99,,,
7,3,99,,,
7,4,99,,,
7,5,99,,,
7,6,99,,,
8,1,4,15,15,15
8,2,4,12,12,15
8,3,4,6,6,6
8,4,4,15,15,15
8,5,99,,,
8,6,99,,,
11,1,2,3,3,3
11,2,2,9,9,9
11,3,2,15,15,15
11,4,2,15,15,15
11,5,2,6,6,6
11,6,99,,,
14,1,2,12,12,12
14,2,2,3,0,3
14,3,2,9,9,9
14,4,99,,,
14,5,99,,,
14,6,99,,,
21,1,4,15,15,15
21,2,4,9,9,12
21,3,4,12,12,12
21,4,99,,,
21,5,99,,,
21,6,99,,,
27,1,4,12,12,12
27,2,4,15,15,15
27,3,4,3,3,3
27,4,100,,,
27,5,100,,,
27,6,100,,,
28,1,3,9,9,9
28,2,3,12,9,9
28,3,99,,,
28,4,99,,,
28,5,99,,,
28,6,99,,,
32,1,2,12,12,12
32,2,2,9,9,9
32,3,99,,,
32,4,99,,,
32,5,99,,,
32,6,99,,,
37,1,4,12,12,12
37,2,4,3,3,3
37,3,4,3,3,3
37,4,4,15,15,15
37,5,4,12,12,12
37,6,100,,,
38,1,1,3,3,3
38,2,1,3,3,3
38,3,1,9,9,9
38,4,1,9,9,9
38,5,99,,,
38,6,99,,,
43,1,2,15,15,18
43,2,2,15,15,15
43,3,99,,,
43,4,99,,,
43,5,99,,,
43,6,99,,,
45,1,3,18,18,18
45,2,3,18,18,18
45,3,101,,,
45,4,101,,,
45,5,101,,,
45,6,101,,,
48,1,3,15,15,15
48,2,3,15,15,18
48,3,3,6,6,6
48,4,99,,,
48,5,99,,,
48,6,99,,,
59,1,1,12,12,12
59,2,1,6,6,6
59,3,99,,,
59,4,99,,,
59,5,99,,,
59,6,99,,,
62,1,4,15,15,15
62,2,4,12,12,15
62,3,4,9,9,9
62,4,4,15,15,15
62,5,4,12,12,12
62,6,101,,,
67,1,2,15,15,15
67,2,2,6,6,6
67,3,2,12,12,12
67,4,2,12,12,12
67,5,2,9,9,9
67,6,99,,,
68,1,1,9,9,9
68,2,1,12,12,12
68,3,1,3,3,6
68,4,1,12,12,12
68,5,99,,,
68,6,99,,,
70,1,4,9,9,9
70,2,4,12,9,9
70,3,4,12,12,12
70,4,4,3,3,3
70,5,99,,,
70,6,99,,,
77,1,4,9,9,12
77,2,4,12,12,12
77,3,4,12,12,15
77,4,4,3,3,3
77,5,99,,,
77,6,99,,,
80,1,4,12,12,12
80,2,4,12,12,12
80,3,4,6,6,6
80,4,4,12,12,12
80,5,100,,,
80,6,100,,,
82,1,1,3,0,0
82,2,99,,,
82,3,99,,,
82,4,99,,,
82,5,99,,,
82,6,99,,,
83,1,4,12,12,12
83,2,4,3,3,3
83,3,99,,,
83,4,99,,,
83,5,99,,,
83,6,99,,,
84,1,1,9,9,12
84,2,1,6,6,6
84,3,1,12,12,12
84,4,99,,,
84,5,99,,,
84,6,99,,,
87,1,1,15,15,18
87,2,1,3,3,3
87,3,99,,,
87,4,99,,,
87,5,99,,,
87,6,99,,,
92,1,2,12,12,12
92,2,2,6,6,6
92,3,2,12,12,12
92,4,99,,,
92,5,99,,,
92,6,99,,,
99,1,3,3,0,3
99,2,3,15,15,15
99,3,100,,,
99,4,100,,,
99,5,100,,,
99,6,100,,,
100,1,1,3,3,3
100,2,1,12,12,12
100,3,100,,,
100,4,100,,,
100,5,100,,,
100,6,100,,,
109,1,2,15,15,15
109,2,2,9,9,9
109,3,2,9,9,9
109,4,2,15,15,15
109,5,2,12,12,15
109,6,101,,,
114,1,3,9,9,9
114,2,3,15,15,15
114,3,3,9,9,9
114,4,3,6,6,6
114,5,3,9,9,9
114,6,99,,,
116,1,4,15,15,15
116,2,4,15,15,15
116,3,4,6,6,6
116,4,4,9,9,9
116,5,4,12,12,12
116,6,99,,,
119,1,2,12,6,6
119,2,2,18,18,21
119,3,2,15,15,15
119,4,2,15,15,15
119,5,101,,,
119,6,101,,,
120,1,2,15,15,18
120,2,2,6,6,6
120,3,2,15,15,15
120,4,99,,,
120,5,99,,,
120,6,99,,,
128,1,2,9,6,9
128,2,2,15,15,15
128,3,2,15,15,15
128,4,2,3,3,6
128,5,99,,,
128,6,99,,,
129,1,2,15,15,15
129,2,2,6,6,6
129,3,2,3,3,3
129,4,2,9,9,9
129,5,100,,,
129,6,100,,,
141,1,4,15,15,18
141,2,4,9,9,9
141,3,4,12,12,12
141,4,99,,,
141,5,99,,,
141,6,99,,,
143,1,2,15,15,18
143,2,2,15,15,18
143,3,2,3,3,3
143,4,99,,,
143,5,99,,,
143,6,99,,,
148,1,2,15,15,15
148,2,2,6,6,6
148,3,2,6,6,6
148,4,2,15,15,15
148,5,99,,,
148,6,99,,,
